m_mech_1,m_mech_2
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,6.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,3.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,3.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,3.0
4.0,5.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,3.0
4.0,4.0
4.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
